channel_id,title,year,type,status,source,imdb_id,imdb_rating,imdb_votes,detail
000101_MegaKadr,Константин - Повелитель тьмы (2005),2005,movie,enriched,tmdb+imdb-dataset,tt0360486,7.0,411916,"query=Константин - Повелитель тьмы; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Константин: Повелитель тьмы; rating_source=knowledge; votes=411916; confidence=100; genres=фэнтези,боевик,ужасы; overview=yes"
000101_MegaKadr,Моя жена – киллер (2023),2023,movie,enriched,sqlite-legacy,tt12964320,5.5,20981,"query=Моя жена – киллер; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Моя жена - киллер; rating_source=knowledge; votes=20981; confidence=100; genres=боевик,комедия,мелодрама; overview=yes"
000101_MegaKadr,Уцелевший (2013),2013,movie,enriched,tmdb+imdb-dataset,tt1091191,7.5,325859,"query=Уцелевший; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Уцелевший; rating_source=knowledge; votes=325859; confidence=100; genres=военный,боевик,драма; overview=yes"
000101_MegaKadr,Электрический штат (2025),2025,movie,enriched,tmdb+imdb-dataset,tt7766378,5.9,87107,"query=Электрический штат; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Электрический штат; rating_source=knowledge; votes=87107; confidence=100; genres=боевик,приключения,фантастика; overview=yes"
000101_MegaKadr,Довод (2020),2020,movie,enriched,tmdb+imdb-dataset,tt6723592,7.3,705899,"query=Довод; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Tenet; rating_source=knowledge; votes=705899; confidence=100; genres=боевик,триллер,фантастика; overview=yes"
000102_GoldenScreen,Черный ястреб (2001),2001,movie,enriched,tmdb+imdb-dataset,tt0117446,5.1,969,"query=Черный ястреб; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Черный ястреб; rating_source=knowledge; votes=969; confidence=98; genres=драма,боевик,телефильм; overview=yes"
000102_GoldenScreen,Вспомнить все (1990),1990,movie,enriched,tmdb+imdb-dataset,tt0100802,7.5,383992,"query=Вспомнить все; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Вспомнить всё; rating_source=knowledge; votes=383992; confidence=100; genres=боевик,приключения,фантастика; overview=yes"
000102_GoldenScreen,Любовь и монстры (2020),2020,movie,enriched,tmdb+imdb-dataset,tt2222042,6.9,161570,"query=Любовь и монстры; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Любовь и монстры; rating_source=knowledge; votes=161570; confidence=100; genres=приключения,комедия,фэнтези; overview=yes"
000102_GoldenScreen,Люси (2014),2014,movie,enriched,tmdb+imdb-dataset,tt2872732,6.4,584297,"query=Люси; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Люси; rating_source=knowledge; votes=584297; confidence=100; genres=боевик,фантастика; overview=yes"
000102_GoldenScreen,Обитель зла - Раккун-Сити (2021),2021,movie,enriched,tmdb+imdb-dataset,tt6920084,5.2,73018,"query=Обитель зла - Раккун-Сити; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Обитель зла: Раккун-Сити; rating_source=knowledge; votes=73018; confidence=100; genres=боевик,ужасы,фантастика; overview=yes"
000102_GoldenScreen,Переводчик (2023),2023,movie,enriched,tmdb+imdb-dataset,tt4873118,7.5,214638,"query=Переводчик; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Переводчик; rating_source=knowledge; votes=214638; confidence=100; genres=военный,боевик,триллер; overview=yes"
000104_KinoTime,Ограбление (2025),2025,movie,enriched,tmdb+imdb-dataset,tt30445556,5.5,18848,"query=Ограбление; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Ограбление; rating_source=knowledge; votes=18848; confidence=100; genres=боевик,комедия,криминал; overview=yes"
000104_KinoTime,Полицейский из Беверли-Хиллз - Аксель Фоули (2024),2024,movie,enriched,tmdb+imdb-dataset,tt3083016,6.4,88102,"query=Полицейский из Беверли-Хиллз - Аксель Фоули; lang=ru-RU; attempt=knowledge-alias; tmdb_title=Полицейский из Беверли-Хиллз: Аксель Фоули; rating_source=knowledge; votes=88102; confidence=100; genres=боевик,комедия,криминал; overview=yes"
