playlist_name,playlist_tvg_id,group,region,family,candidate_reason,automatic_recovery_allowed
DITV Детский досуг,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
DITV Детский канал,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
DITV Мультфильмы для малышей,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
DITV Сборник мультфильмов сказок,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
DITV Союзмултфилм,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
DITV Фиксики  4К,no_epg_mult,Детские,,DITV,cyrillic-topical-group,no
Play-X Военные сериалы,,Кино,,Play-X,cyrillic-topical-group,no
Play-X Кухня,,Кино,,Play-X,cyrillic-topical-group,no
Play-X Леонид Гайдай,,Кино,,Play-X,cyrillic-topical-group,no
НТВ Сериал Невский,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
НТВ Сериал Первый Отде,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
НТВ Сериал Пять Минут Тишины,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
НТВ Сериал Скорая Помощь,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
НТВ Сериал Следствие Вели,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
НТВ Сериал Шеф,no_epg_cinema,Кино,,Other: НТВ,cyrillic-topical-group,no
KLI Новинки 4K Ultra HD,Xklinovinci4k,Кино 4K,,KLI,cyrillic-topical-group,no
DITV Агент национальной безопасности,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Американские комедии 80-90-х,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV ГАРИ ПОТЕР,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Глухарь,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Карпов,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV КЛАССИКА ИНДИЙСКОГО КИНО,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV КОМЕДИИ,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV КОМЕДИИ 90-х,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV КОМЕДИИ СССР,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV комедийные сериалы,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV комедийные сериалы,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Куба,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Лихач,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV ПАТРИОТ,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Про акул,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Про вампиров,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Пятницкий,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Пёс,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV СССР 4К,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV Счастливы вместе,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV ФИЛЬМЫ,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
DITV ФИЛЬМЫ УЖАСОВ 80-х,no_epg_cinema,Кинозалы,,DITV,cyrillic-topical-group,no
KLI Новинки HD,Xklinovinci,Кинозалы,,KLI,cyrillic-topical-group,no
Joker:Гей Арнольд!,jk_arnold,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Русалочка,jk_rusaloshka,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Формула,jk_formula,Кинозалы UA,,Joker,cyrillic-topical-group,no
Play-X Украинский кинозал 1 HD,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Украинский кинозал 2 HD,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Фильмы про войну в Украине,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Дискотека 90-х,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Золото шансона,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Муз коллекция Дитер Болен,,Музыкальные,,Play-X,cyrillic-topical-group,no
