playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
Первый канал,Россия,Xpervy,Xpervy,Первый канал,True,1,ok
Первый канал HD,Россия,Xpervy,Xpervy,Первый канал HD,True,1,ok
Первый канал Европа,Россия,Xpervy-kanal-eu,Xpervy-kanal-eu,Первый канал Европа,True,1,ok
Первый канал +2,Россия,Xpervy-pl2,Xpervy-pl2,Первый канал +2,True,1,ok
Первый HD +4,Россия,Xpervy-pl4,Xpervy-pl4,Первый HD +4,True,1,ok
Первый канал +4,Россия,Xpervy-pl4,Xpervy-pl4,Первый канал +4,True,1,ok
Первый канал +6,Россия,Xpervy-pl6,Xpervy-pl6,Первый канал +6,True,1,ok
Россия 1 HD,Россия,Xrossia1,Xrossia1,Россия 1 HD,True,1,ok
Россия 1,Россия,Xrossia1,Xrossia1,Россия 1,True,1,ok
Россия 1 +2,Россия,Xrossia1-pl2,Xrossia1-pl2,Россия 1 +2,True,1,ok
Россия 1 +2 HD,Россия,Xrossia1-pl2,Xrossia1-pl2,Россия 1 +2 HD,True,1,ok
Россия 1 +4,Россия,Xrossia1-pl4,Xrossia1-pl4,Россия 1 +4,True,1,ok
Россия 1 +4 HD,Россия,Xrossia1-pl4,Xrossia1-pl4,Россия 1 +4 HD,True,1,ok
Россия 1 +6,Россия,Xrossia1-pl6,Xrossia1-pl6,Россия 1 +6,True,1,ok
Россия 1 +6 HD,Россия,Xrossia1-pl6,Xrossia1-pl6,Россия 1 +6 HD,True,1,ok
Россия-24,Россия,Xrossia-24,Xrossia-24,Россия-24,True,1,ok
Россия 1 +9 HD,Россия,Xrossia1-pl9,Xrossia1-pl9,Россия 1 +9 HD,True,1,ok
Планета РТР,Россия,Xrtr-planeta-eu,Xrtr-planeta-eu,РТР Планета СНГ,True,1,ok
ТНТ HD,Россия,Xtnt,Xtnt,ТНТ HD,True,1,ok
ТНТ,Россия,Xtnt,Xtnt,ТНТ,True,1,ok
ТНТ +2,Россия,Xtnt-pl2,Xtnt-pl2,ТНТ +2,True,1,ok
ТНТ +4,Россия,Xtnt-pl4,Xtnt-pl4,ТНТ +4,True,1,ok
ТНТ +7,Россия,Xtnt-pl7,Xtnt-pl7,ТНТ +7,True,1,ok
ТНТ4,Россия,Xtnt4,Xtnt4,ТНТ4,True,1,ok
ТНТ4 HD,Россия,Xtnt4,Xtnt4,ТНТ4 HD,True,1,ok
ТНТ4 +2,Россия,Xtnt4-pl2,Xtnt4-pl2,ТНТ4 +2,True,1,ok
ТНТ4 +4,Россия,Xtnt4-pl4,Xtnt4-pl4,ТНТ4 +4,True,1,ok
НТВ Мир,Россия,Xntv-mir,Xntv-mir,НТВ Мир,True,1,ok
НТВ HD,Россия,Xntv,Xntv,НТВ HD,True,1,ok
НТВ,Россия,Xntv,Xntv,НТВ,True,1,ok
НТВ +2,Россия,Xntv-pl2,Xntv-pl2,НТВ +2,True,1,ok
НТВ +4,Россия,Xntv-pl4,Xntv-pl4,НТВ +4,True,1,ok
НТВ Стиль,Россия,Xntv-style,Xntv-style,НТВ Стиль,True,1,ok
НТВ +7,Россия,Xntv-pl7,Xntv-pl7,НТВ +7,True,1,ok
ТВ3 HD,Россия,Xtv3-ru,Xtv3-ru,ТВ3 HD,True,1,ok
Время,Россия,Xvremia,Xvremia,Время,True,1,ok
Москва 24,Россия,Xmoskva-24,Xmoskva-24,Москва 24,True,1,ok
Рен ТВ HD,Россия,Xrentv,Xrentv,Рен ТВ HD,True,1,ok
Рен ТВ,Россия,Xrentv,Xrentv,Рен ТВ,True,1,ok
Рен ТВ +2,Россия,Xrentv-pl2,Xrentv-pl2,Рен ТВ +2,True,1,ok
Рен ТВ +7,Россия,Xrentv-pl7,Xrentv-pl7,Рен ТВ +7,True,1,ok
СТС International,Россия,sts-int,sts-int,СТС International,True,1,ok
СТС HD,Россия,Xsts,Xsts,СТС HD,True,1,ok
СТС,Россия,Xsts,Xsts,СТС,True,1,ok
СТС +2,Россия,Xsts-pl2,Xsts-pl2,СТС +2,True,1,ok
СТС +4,Россия,Xsts-pl4,Xsts-pl4,СТС +4,True,1,ok
СТС Love,Россия,Xsts-love,Xsts-love,СТС Love,True,1,ok
СТС Love +4,Россия,Xsts-love-pl4,Xsts-love-pl4,СТС Love +4,True,1,ok
Пятый Канал,Россия,X5kanal-ru,X5kanal-ru,Пятый Канал,True,1,ok
Пятый Канал +2,Россия,X5kanal-ru-pl2,X5kanal-ru-pl2,Пятый Канал +2,True,1,ok
Россия-Культура,Россия,Xkultura,Xkultura,Россия-Культура,True,1,ok
РБК-ТВ,Россия,Xrbk,Xrbk,РБК-ТВ,True,1,ok
Первый Российский Национальный канал,Россия,Xprnk-tv,Xprnk-tv,Первый Российский Национальный канал,True,1,ok
ТВЦ,Россия,Xtvcentr,Xtvcentr,ТВЦ,True,1,ok
ОТР,Россия,Xotr,Xotr,ОТР,True,1,ok
ТВЦ International,Россия,Xtvci,Xtvci,ТВЦ International,True,1,ok
RTVi,Россия,Xrtvi,Xrtvi,RTVi,True,1,ok
Перец,Россия,Xperec-int,Xperec-int,Перец,True,1,ok
Пятница,Россия,Xpiatnica,Xpiatnica,Пятница,True,1,ok
Пятница HD,Россия,Xpiatnica,Xpiatnica,Пятница HD,True,1,ok
Пятниця +7,Россия,piatnica-pl7,piatnica-pl7,Пятниця +7,True,1,ok
Пятница +4,Россия,piatnica-pl4,piatnica-pl4,Пятница +4,True,1,ok
Пятница +2,Россия,piatnica-pl2,piatnica-pl2,Пятница +2,True,1,ok
Суббота,Россия,Xsuper,Xsuper,Суббота,True,1,ok
Настоящее время HD,Россия,Xnastoyaschee-vremia,Xnastoyaschee-vremia,Настоящее время HD,True,1,ok
Ю+,Россия,Xyu,Xyu,Ю+,True,1,ok
Ю+ 2,Россия,yu-pl2,yu-pl2,Ю+ 2,True,1,ok
Ю+ 4,Россия,yu-pl4,yu-pl4,Ю+ 4,True,1,ok
Ю+ 7,Россия,yu-pl7,yu-pl7,Ю+ 7,True,1,ok
Мир,Россия,Xmir,Xmir,Мир,True,1,ok
Звезда HD,Россия,Xzvezda,Xzvezda,Звезда HD,True,1,ok
Звезда,Россия,Xzvezda,Xzvezda,Звезда,True,1,ok
Звезда +2,Россия,Xzvezda-pl2,Xzvezda-pl2,Звезда +2,True,1,ok
Звезда Плюс,Россия,Xzvezda-plus,Xzvezda-plus,Звезда Плюс,True,1,ok
Домашний,Россия,Xdomashny,Xdomashny,Домашний,True,1,ok
Домашний HD,Россия,Xdomashny,Xdomashny,Домашний HD,True,1,ok
Домашний +4,Россия,Xdomashny-pl4,Xdomashny-pl4,Домашний +4,True,1,ok
Домашний +2,Россия,Xdomashny-pl2,Xdomashny-pl2,Домашний +2,True,1,ok
Севастополь 24 HD,Россия,Xsevastopol-24,Xsevastopol-24,Севастополь 24 HD,True,1,ok
КРЫМ 24,Россия,Xkrym24,Xkrym24,КРЫМ 24,True,1,ok
Первый Крымский,Россия,Xpervy-krymsky,Xpervy-krymsky,Первый Крымский,True,1,ok
НТС Севастополь,Россия,Xnts-sevastopol,Xnts-sevastopol,НТС Севастополь,True,1,ok
Миллет,Россия,Xmillet,Xmillet,Миллет,True,1,ok
Евпатория 24,Россия,,Xewpatorya24,Евпатория 24,False,1,ok
Первый Севастопольский,Россия,Xpervy-sevastopolsky,Xpervy-sevastopolsky,Первый Севастопольский,True,1,ok
Симферополь 24,Россия,Xsimfer24,Xsimfer24,Симферополь 24,True,1,ok
Легендарный 24 HD,Россия,Xlegendarny24,Xlegendarny24,Легендарный 24 HD,True,1,ok
Че!,Россия,Xche,Xche,Че!,True,1,ok
Москва Доверие,Россия,Xdoverie,Xdoverie,Москва Доверие,True,1,ok
Че +2,Россия,che-pl2,che-pl2,Че +2,True,1,ok
Че +4,Россия,che-pl4,che-pl4,Че +4,True,1,ok
Че +7,Россия,che-pl7,che-pl7,Че +7,True,1,ok
Известия HD,Россия,Xizvestia,Xizvestia,Известия HD,True,1,ok
ВМЕСТЕ-РФ,Россия,Xvmeste-rf,Xvmeste-rf,ВМЕСТЕ-РФ,True,1,ok
Соловьев.Live,Россия,Xsolovjinypomiot,Xsolovjinypomiot,Соловьев.Live,True,1,ok
Своё ТВ Ставрополь,Россия,Xsvoyo-tv-stavropol,Xsvoyo-tv-stavropol,Своё ТВ Ставрополь,True,1,ok
News Front,Россия,News Front TV,News Front TV,News Front,True,1,ok
ОТВ Екатеринбург,Россия,Xotv-eburg,Xotv-eburg,ОТВ Екатеринбург,True,1,ok
Красная линия,Россия,Xkrasnaya-linia,Xkrasnaya-linia,Красная линия,True,1,ok
Резонанс ТВ,Россия,Xrezonans,Xrezonans,Резонанс ТВ,True,1,ok
Белгород 24,Россия,Xbelgorod24,Xbelgorod24,Белгород 24,True,1,ok
Астрахань 24,Россия,Xastraxan24,Xastraxan24,Астрахань 24,True,1,ok
Архыз 24,Россия,Xarxyz24,Xarxyz24,Архыз 24,True,1,ok
Хузур ТВ,Россия,Xxuzur-tv,Xxuzur-tv,Хузур ТВ,True,2,ok
Тамыр,Россия,Xtamyr,Xtamyr,Тамыр,True,1,ok
Курай,Россия,Xkuraj,Xkuraj,Курай,True,1,ok
ТКР Рязань,Россия,Xtrk-ryazan,Xtrk-ryazan,ТКР Рязань,True,1,ok
ЛДПР ТВ,Россия,Xldpr-tv,Xldpr-tv,ЛДПР ТВ,True,1,ok
Sochi Live,Россия,Xsochi-live,Xsochi-live,Sochi Live,True,1,ok
БелРос HD,Россия,Xbelros,Xbelros,БелРос HD,True,2,ok
TV Губерния,Россия,Xtv-guberniya,Xtv-guberniya,TV Губерния,True,1,ok
Ника ТВ,Россия,Xnika-tv,Xnika-tv,Ника ТВ,True,1,ok
Осетия-Ирыстон,Россия,Xosetia-iryston,Xosetia-iryston,Осетия-Ирыстон,True,1,ok
НТМ,Россия,Xntm,Xntm,НТМ,True,1,ok
Мой мир,Россия,11487,11487,Мой мир,True,1,ok
ТРК 555,Россия,ТРК 555 (Алушта),ТРК 555 (Алушта),ТРК 555,True,1,ok
Открытый мир,Россия,Xotkryty-mir,Xotkryty-mir,Открытый мир,True,1,ok
Первый Ярославский,Россия,Xpervy-yaroslavsky,Xpervy-yaroslavsky,Первый Ярославский,True,1,ok
Первый Ростовский,Россия,Xpervy-rostovsky,Xpervy-rostovsky,Первый Ростовский,True,1,ok
МТВ Волгоград,Россия,Xmtv-volgograd,Xmtv-volgograd,МТВ Волгоград,True,1,ok
Аист,Россия,Xaist,Xaist,Аист,True,1,ok
12 канал Омск,Россия,X12-omsk,X12-omsk,12 канал Омск,True,1,ok
Катунь 24,Россия,Xkatun-24,Xkatun-24,Катунь 24,True,1,ok
Енисей регион,Россия,Xenisey-region,Xenisey-region,Енисей регион,True,1,ok
С1 Сургут,Россия,Xs1-surgut,Xs1-surgut,С1 Сургут,True,1,ok
86 Сургут,Россия,X86-surgut,X86-surgut,86 Сургут,True,1,ok
Волга,Россия,Xvolga,Xvolga,Волга,True,1,ok
Волга 24,Россия,Xvremia-n,Xvremia-n,Волга 24,True,1,ok
