enabled,playlist_name,source,source_id,notes
1,BCU VHS HD,iptvx-noarch,bcu-vhs,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-criminal,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-cinema,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-cinemaplus,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-action,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-comedy,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-catastrophe,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-history,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-cosmo,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-russian,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-sssr,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,bcu-marvel,evidence scan BCU family
1,BCU VHS HD,iptvx-noarch,box-hybrid,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-vhs,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-criminal,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-cinema,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-cinemaplus,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-action,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-comedy,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-catastrophe,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-history,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-cosmo,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-russian,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-sssr,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,bcu-marvel,evidence scan BCU family
1,BCU VHS HD,openbox-tsd,box-hybrid,evidence scan BCU family
1,BCU VHS HD,gabbarit-primary,BCU VHS HD,evidence scan display-name candidate
1,BCU VHS HD,gabbarit-mirror,BCU VHS HD,evidence scan display-name candidate
1,BCU Criminal HDR,iptvx-noarch,bcu-vhs,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-criminal,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-cinema,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-cinemaplus,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-action,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-comedy,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-catastrophe,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-history,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-cosmo,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-russian,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-sssr,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,bcu-marvel,evidence scan BCU family
1,BCU Criminal HDR,iptvx-noarch,box-hybrid,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-vhs,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-criminal,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-cinema,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-cinemaplus,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-action,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-comedy,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-catastrophe,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-history,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-cosmo,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-russian,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-sssr,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,bcu-marvel,evidence scan BCU family
1,BCU Criminal HDR,openbox-tsd,box-hybrid,evidence scan BCU family
1,BCU Criminal HDR,gabbarit-primary,BCU Criminal HDR,evidence scan display-name candidate
1,BCU Criminal HDR,gabbarit-mirror,BCU Criminal HDR,evidence scan display-name candidate
1,BOX Oscar HD,iptvx-noarch,box-oscar,evidence scan BOX family
1,BOX Oscar HD,iptvx-noarch,box-hybrid,evidence scan BOX family
1,BOX Oscar HD,openbox-tsd,box-oscar,evidence scan BOX family
1,BOX Oscar HD,openbox-tsd,box-hybrid,evidence scan BOX family
1,BOX Oscar HD,gabbarit-primary,BOX Oscar HD,evidence scan display-name candidate
1,BOX Oscar HD,gabbarit-mirror,BOX Oscar HD,evidence scan display-name candidate
